                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.15228,                0.08518,                    nan,                    nan,                    nan,                0.00026,                0.00026,                0.00026
                      2,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.18883,                 0.1013,                    nan,                    nan,                    nan,             0.00053465,             0.00053465,             0.00053465
                      3,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20467,                0.10823,                    nan,                    nan,                    nan,             0.00080376,             0.00080376,             0.00080376
                      4,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22109,                0.11338,                    nan,                    nan,                    nan,              0.0010673,              0.0010673,              0.0010673
                      5,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21588,                0.11081,                    nan,                    nan,                    nan,              0.0013254,              0.0013254,              0.0013254
                      6,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22495,                0.10886,                    nan,                    nan,                    nan,              0.0015778,              0.0015778,              0.0015778
                      7,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22338,                 0.1006,                    nan,                    nan,                    nan,              0.0018248,              0.0018248,              0.0018248
                      8,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.22004,                0.10132,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21894,                0.10077,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     10,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21148,                0.09929,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     11,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20573,                0.09558,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     12,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21124,                0.10059,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     13,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21587,                0.10043,                    nan,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     14,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21024,                0.10043,                    nan,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     15,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21614,                0.10323,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     16,                    nan,                    nan,                    nan,                0.00328,                0.98413,                 0.2096,                0.10238,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     17,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20794,                0.09971,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     18,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21717,                0.10101,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     19,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21352,                0.10098,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     20,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21343,                0.10208,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     21,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21442,                0.10323,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     22,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21751,                0.10381,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     23,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21539,                0.10035,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     24,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21327,                0.10291,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     25,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20401,                0.09654,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     26,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21256,                0.10104,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     27,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21398,                0.10243,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     28,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.21023,                0.10223,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     29,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20776,                0.09774,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     30,                    nan,                    nan,                    nan,                0.00328,                0.98413,                0.20856,                0.09831,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
